x	f(x)	gradient

0.0 0.0 0
0.0031622776596803744 -7.05689087138315 -18.0
0.005455281298772419 -7.098105133697019 -17.980906334041954
0.007374674568594449 -7.13257938044868 -17.96691119107878
0.009078134609315818 -7.16315619277564 -17.955099322688522
0.010638882953360233 -7.191155518985788 -17.944542242008286
0.012097736068299161 -7.217313101308253 -17.934808472313897
0.013480088570749067 -7.242086657891957 -17.925657320974466
0.014802949704851784 -7.265782737804654 -17.916938915121
0.016078332530042882 -7.288617821392368 -17.908552773931316
0.017315066943238765 -7.3107510053207845 -17.90042785149638
0.01851984796909325 -7.332302901034188 -17.89251185982158
0.019697879456477115 -7.35336723923382 -17.88476509495986
0.02085328877826813 -7.374018346034539 -17.877156645800156
0.021989404704516876 -7.3943161524313705 -17.869661951495953
0.02310894979692163 -7.4143096627678196 -17.862261164741792
0.024214177372530704 -7.434039423903649 -17.85493801848987
0.025306971362587135 -7.453539325457578 -17.847679019134876
0.02638892064477264 -7.4728379398550455 -17.840472858229916
0.027461375390424064 -7.491959538138881 -17.833309974537812
0.028525490471496388 -7.510924872489105 -17.82618222199745
0.02958225938195474 -7.5297517877324305 -17.81908261389135
0.0306325410891821 -7.548455705389471 -17.812005122866577
0.03167708153620867 -7.567050011282463 -17.80494452258194
0.03271653104137178 -7.585546369177571 -17.79789626084693
0.03375145851232571 -7.603954976992333 -17.790856356911195
0.03478236315822781 -7.622284777896662 -17.783821317505534
0.03580968421659561 -7.640543635619198 -17.776788067608184
0.03683380908951916 -7.658738481074831 -17.76975389289612
0.03785508019409708 -7.6768754358100155 -17.762716391558367
0.03887380076495307 -7.694959916554409 -17.755673433677398
0.03989023979614267 -7.712996724256085 -17.74862312677932
0.04090463627124318 -7.730990120283169 -17.74156378645122
0.04191720280079086 -7.7489438919405815 -17.73449391115075
0.04292812876323372 -7.76686140903597 -17.727412160507544
0.04393758302757323 -7.784745672904456 -17.720317336551243
0.04494571632167331 -7.80259935904591 -17.713208367406903
0.04595266329893662 -7.8204248543251 -17.70608429308194
0.046958544347021944 -7.838224289522281 -17.698944253035194
0.0479634671750054 -7.855999567890738 -17.691787475271575
0.048967528209493384 -7.873752390271406 -17.684613266748595
0.04997081382538633 -7.891484277228078 -17.67742100491567
0.05097340143304751 -7.909196588595458 -17.670210130235226
0.05197536044037592 -7.926890540773701 -17.66298013955786
0.05297675310558291 -7.944567222054324 -17.65573058024286
0.05397763529422109 -7.962227606221824 -17.648461044931185
0.054978057152128564 -7.979872564641283 -17.6411711668912
0.05597806370436424 -7.997502877013639 -17.633860615868556
0.05697769538886783 -8.015119240956077 -17.626529094380736
0.05797698853243854 -8.032722280544442 -17.619176334404873
0.05897597577565487 -8.050312553937038 -17.611802094413882
0.059974686452526016 -8.067890560184189 -17.604406156721783
0.06097314692995099 -8.08545674531502 -17.596988325103897
0.06197138091144536 -8.103011507781838 -17.589548422661796
0.06296940970906284 -8.12055520333286 -17.58208628990647
0.06396725248697631 -8.138088149375674 -17.57460178303633
0.06496492647978072 -8.155610628886613 -17.56709477238935
0.06596244718822916 -8.173122893914844 -17.559565141051035
0.06695982855480594 -8.190625168724457 -17.552012783601906
0.06795708312127155 -8.20811765261296 -17.544437604990097
0.06895422217007738 -8.225600522440349 -17.536839519516153
0.06995125585133934 -8.24307393489914 -17.52921844991857
0.07094819329687602 -8.260538028552425 -17.52157432654981
0.07194504272265388 -8.277992925664108 -17.513907086633655
0.07294181152083819 -8.295438733842868 -17.506216673595702
0.07393850634252068 -8.312875547519088 -17.498503036459674
0.07493513317208146 -8.330303449271955 -17.49076612930292
0.07593169739404185 -8.347722511022127 -17.4830059107653
0.07692820385317517 -8.36513279510373 -17.475222343606063
0.0779246569085625 -8.382534355228024 -17.46741539430404
0.07892106048220895 -8.399927237349774 -17.45958503269682
0.0799174181027726 -8.417311480446248 -17.45173123165511
0.08091373294490106 -8.434687117217704 -17.443853966788804
0.08191000786462005 -8.452054174717341 -17.435953216181648
0.08290624543117259 -8.469412674917859 -17.428028960151693
0.08390244795566691 -8.486762635221023 -17.420081181035037
0.08489861751685454 -8.504104068916043 -17.412109862990558
0.08589475598432735 -8.521436985591869 -17.404114991823594
0.08689086503939318 -8.538761391508098 -17.39609655482675
